price,m2_price,square,rooms,district,micro_district,building_type,condition,floor/floors
110880,720,154,4,1,0,1,3,0.8571428571428571
57000,740,77,2,1,0,1,3,0.4166666666666667
57750,750,77,2,1,0,2,3,0.4166666666666667
55000,1279,43,1,2,3,1,5,0.08333333333333333
97000,1276,76,2,3,1,1,7,0.8333333333333334
160000,1455,110,3,3,0,1,7,1.0
158990,880,181,4,1,0,2,3,0.6428571428571429
68000,1283,53,1,1,0,2,7,0.7777777777777778
57500,1198,48,2,0,2,1,7,0.8
60000,1364,44,1,1,0,2,7,0.6666666666666666
41500,1383,30,1,1,2,3,5,1.0
57500,1198,48,2,0,2,1,5,0.8
73000,1123,65,3,1,0,2,7,0.3333333333333333
129600,810,160,4,1,4,1,3,0.25
124820,790,158,4,1,0,2,3,0.5
84240,810,104,3,1,0,1,3,0.1875
78000,963,81,3,2,2,3,7,0.1111111111111111
112000,1244,90,3,3,1,2,7,1.0
65500,978,67,2,1,1,2,7,0.3333333333333333
51000,1062,48,1,1,0,2,7,0.7777777777777778
73000,869,84,2,1,0,1,5,0.8
65500,978,67,2,1,1,2,7,0.375
38500,1167,33,1,0,3,3,5,0.4444444444444444
92000,958,96,3,2,3,2,7,0.8333333333333334
90000,909,99,3,2,2,3,7,0.1111111111111111
63000,1370,46,1,3,3,2,7,0.6666666666666666
42800,951,45,1,1,0,3,5,0.8888888888888888
107500,1250,86,3,1,0,2,3,0.75
47000,1093,43,2,1,2,3,5,1.0
39000,1300,30,1,3,2,1,7,1.0
35500,856,41,1,2,2,2,7,1.0
47000,1093,43,2,1,2,3,7,1.0
75000,843,89,3,1,0,2,3,0.5833333333333334
58000,784,74,2,1,0,2,7,0.8888888888888888
50000,1111,45,1,2,1,2,7,1.0
54500,1090,50,2,3,1,3,4,0.1
70000,1207,58,3,1,2,3,7,0.5
52500,868,60,2,1,0,2,7,0.2
69000,972,71,2,1,0,3,7,0.2
57000,877,65,2,1,0,2,7,0.3
79970,1095,73,2,1,0,2,3,0.375
100000,1351,74,2,1,0,2,7,0.45454545454545453
58000,784,74,2,1,0,2,3,0.8888888888888888
107000,1039,103,3,1,0,2,3,0.6875
96600,1150,84,2,1,0,2,3,0.8333333333333334
65000,1121,58,3,1,2,2,7,0.25
74000,1057,70,2,1,0,2,7,0.8888888888888888
49000,1021,48,1,1,0,3,7,0.2
67500,1125,60,2,1,0,2,7,0.25
103500,1056,98,3,1,0,2,7,0.7777777777777778
38500,1041,37,1,1,0,2,7,1.0
42500,802,53,2,1,0,2,3,1.0
58000,921,63,2,1,0,2,3,0.5833333333333334
61778,950,65,2,1,0,3,3,0.21428571428571427
76000,710,107,3,1,0,2,3,0.9166666666666666
45000,1098,41,2,1,3,1,5,0.25
49500,1031,48,1,1,0,2,5,0.1111111111111111
268000,2062,130,4,2,3,2,7,0.8461538461538461
37000,1233,30,1,3,2,1,4,0.75
83000,1129,74,3,3,1,1,5,0.6666666666666666
51000,1186,43,1,1,0,2,7,0.3333333333333333
85000,1214,70,2,3,1,2,5,0.7777777777777778
78000,1393,56,2,3,2,2,5,0.5833333333333334
98000,1181,83,2,3,4,2,5,0.5
67500,993,68,2,2,3,3,7,1.0
195000,1054,185,5,2,4,1,5,0.16666666666666666
139500,1116,125,3,0,3,2,5,0.6428571428571429
29500,819,36,1,1,0,2,7,0.75
143000,851,168,4,2,4,1,7,0.6666666666666666
67000,1117,60,3,1,2,3,7,1.0
82500,1179,70,2,2,1,2,7,0.16666666666666666
55000,1279,43,1,1,3,2,5,0.3
139500,996,140,3,1,2,1,7,0.5
125000,1667,75,2,3,3,1,7,1.0
67500,1125,60,2,1,2,3,5,1.0
63500,1114,57,2,1,0,2,7,0.9
67000,1117,60,2,3,1,3,5,0.1111111111111111
55000,1078,51,2,0,1,1,7,0.6666666666666666
67500,1164,58,3,2,4,3,7,0.8
185000,1303,142,3,1,3,1,5,0.5
39500,1317,30,1,3,2,1,5,0.25
53500,1115,48,1,1,0,2,7,0.07142857142857142
180000,1160,155,4,1,0,1,7,0.3333333333333333
85000,966,88,4,1,0,3,5,1.0
48000,762,63,2,1,0,2,3,0.25
66000,1375,48,2,1,0,2,7,0.8888888888888888
47500,1105,43,1,1,0,1,5,0.5555555555555556
55000,747,74,2,1,0,2,3,0.1111111111111111
63000,1086,58,1,3,1,2,7,0.6
90000,1268,71,3,0,4,1,5,0.8
210000,1167,180,3,2,3,1,7,0.18181818181818182
136000,932,146,3,3,1,2,7,1.0
39900,725,55,1,1,0,2,3,0.6875
92500,1250,74,2,0,4,2,3,0.7368421052631579
64500,1402,46,1,1,0,2,7,0.9230769230769231
42500,966,44,1,1,0,1,5,0.2222222222222222
44000,1128,39,1,3,0,2,5,0.75
55000,743,74,2,1,0,2,7,0.1111111111111111
300000,1875,160,4,1,0,2,7,0.25
